Name,Description,Programming languages,Forks count,Stars count,Commits count,Pull requests count,Contributors count,Releases counts,Url,Mentions current AI terms,Languages count,Stars per contributor
zhayujie chatgpt-on-wechat,基于大模型搭建的聊天机器人，同时支持 微信公众号、企业微信应用、飞书、钉钉 等接入，可选择ChatGPT/Claude/DeepSeek/文心一言/讯飞星火/通义千问/ Gemini/GLM-4/Kimi/LinkAI，能处理文本、语音和图片，访问操作系统和互联网，支持基于自有知识库进行定制企业智能客服。,"['Python', 'HTML', 'Shell']",9529,39915,1368,43,81,63,https://github.com/zhayujie/chatgpt-on-wechat,False,3,492.78
mudler LocalAI,"🤖 The free, Open Source alternative to OpenAI, Claude and others. Self-hosted and local-first. Drop-in replacement for OpenAI, running on consumer-grade hardware. No GPU required. Runs gguf, transformers, diffusers and many more. Features: Generate Text, MCP, Audio, Video, Images, Voice Cloning, Distributed, P2P and decentralized inference","['Go', 'HTML', 'Python', 'JavaScript', 'C++', 'Shell', 'Other']",3151,39646,5102,10,162,91,https://github.com/mudler/LocalAI,False,7,244.73
photoprism photoprism,AI-Powered Photos App for the Decentralized Web 🌈💎✨,"['Go', 'JavaScript', 'Vue', 'Dockerfile', 'CSS', 'Shell', 'Other']",2176,38854,12413,13,185,79,https://github.com/photoprism/photoprism,False,7,210.02
Aider-AI aider,aider is AI pair programming in your terminal,"['Python', 'CSS', 'Shell', 'Tree-sitter Query', 'JavaScript', 'HTML', 'Other']",3709,38763,13046,217,164,93,https://github.com/Aider-AI/aider,False,7,236.36
QuivrHQ quivr,"Opiniated RAG for integrating GenAI in your apps 🧠 Focus on your product rather than the RAG. Easy integration in existing products with customisation! Any LLM: GPT4, Groq, Llama. Any Vectorstore: PGVector, Faiss. Any Files. Anyway you want.","['Python', 'Shell']",3693,38666,2295,13,123,354,https://github.com/QuivrHQ/quivr,True,2,314.36
upstash context7,Context7 MCP Server -- Up-to-date code documentation for LLMs and AI code editors,"['TypeScript', 'JavaScript', 'Dockerfile']",1907,38482,582,11,94,27,https://github.com/upstash/context7,False,3,409.38
chatboxai chatbox,Powerful AI Client,"['TypeScript', 'JavaScript', 'CSS', 'EJS', 'NSIS', 'Shell']",3802,37598,766,51,60,51,https://github.com/chatboxai/chatbox,False,6,626.63
LAION-AI Open-Assistant,"OpenAssistant is a chat-based assistant that understands tasks, can interact with third-party systems, and retrieve information dynamically to do so.","['Python', 'TypeScript', 'JavaScript', 'Shell', 'Mako', 'HTML']",3300,37503,3477,64,306,127,https://github.com/LAION-AI/Open-Assistant,False,6,122.56
mindsdb mindsdb,Federated query engine for AI - The only MCP Server you'll ever need,"['Python', 'Dockerfile', 'HCL', 'Makefile', 'HTML', 'Mako']",6015,37442,19852,86,806,323,https://github.com/mindsdb/mindsdb,False,6,46.45
ToolJet ToolJet,"ToolJet is the open-source foundation of ToolJet AI - the AI-native platform for building internal tools, dashboard, business applications, workflows and AI agents 🚀","['JavaScript', 'TypeScript', 'SCSS', 'Dockerfile', 'Shell', 'Handlebars', 'Other']",4892,37007,11924,315,651,385,https://github.com/ToolJet/ToolJet,False,7,56.85
google-research google-research,Google Research,"['Jupyter Notebook', 'Python', 'C++', 'JavaScript', 'Java', 'Shell', 'Other']",8266,36840,4869,608,635,0,https://github.com/google-research/google-research,False,7,58.02
babysor MockingBird,🚀AI拟声: 5秒内克隆您的声音并生成任意语音内容 Clone a voice in 5 seconds to generate arbitrary speech in real-time,"['Python', 'Other']",5273,36795,211,5,40,0,https://github.com/babysor/MockingBird,False,2,919.88
sansan0 TrendRadar,🎯 告别信息过载，AI 助你看懂新闻资讯热点，简单的舆情监控分析 - 多平台热点聚合+基于 MCP 的AI分析工具。监控35个平台（抖音、知乎、B站、华尔街见闻、财联社等），智能筛选+自动推送+AI对话分析（用自然语言深度挖掘新闻：趋势追踪、情感分析、相似检索等13种工具）。支持企业微信/个人微信/飞书/钉钉/Telegram/邮件/ntfy/bark/slack 推送，30秒网页部署，1分钟手机通知，无需编程。支持Docker部署⭐ 让算法为你服务，用AI理解热点,"['Python', 'HTML', 'Batchfile', 'Shell', 'Dockerfile']",19824,36330,2077,82,2,0,https://github.com/sansan0/TrendRadar,False,5,18165.0
RSSNext Folo,🧡 Folo is the AI Reader,"['TypeScript', 'Swift', 'JavaScript', 'CSS', 'HTML', 'Kotlin', 'Other']",1831,36074,6530,6,147,227,https://github.com/RSSNext/Folo,False,7,245.4
PatrickJS awesome-cursorrules,📄 Configuration files that enhance Cursor AI editor experience with custom rules and behaviors,['MDX'],3051,35852,105,11,68,0,https://github.com/PatrickJS/awesome-cursorrules,False,1,527.24
agno-agi agno,"Multi-agent framework, runtime and control plane. Built for speed, privacy, and scale.","['Python', 'Other']",4709,35692,4695,138,360,133,https://github.com/agno-agi/agno,True,2,99.14
reworkd AgentGPT,"🤖 Assemble, configure, and deploy autonomous AI Agents in your browser.","['TypeScript', 'Python', 'JavaScript', 'MDX', 'CSS', 'Shell', 'Other']",9480,35301,1500,85,73,12,https://github.com/reworkd/AgentGPT,False,7,483.58
daytonaio daytona,Daytona is a Secure and Elastic Infrastructure for Running AI-Generated Code,"['TypeScript', 'MDX', 'Go', 'Python', 'JavaScript', 'Astro', 'Other']",2728,35030,1585,58,206,129,https://github.com/daytonaio/daytona,False,7,170.05
sst opencode,The AI coding agent built for the terminal.,"['TypeScript', 'Python', 'Go', 'CSS', 'MDX', 'Astro', 'Other']",2888,34938,4743,337,342,569,https://github.com/sst/opencode,True,7,102.16
danielmiessler Fabric,Fabric is an open-source framework for augmenting humans using AI. It provides a modular system for solving specific problems using a crowdsourced set of AI prompts that can be used anywhere.,"['JavaScript', 'Go', 'Svelte', 'Python', 'TypeScript', 'Shell', 'Other']",3556,34884,3174,3,202,290,https://github.com/danielmiessler/Fabric,False,7,172.69
YunaiV ruoyi-vue-pro,🔥 官方推荐 🔥 RuoYi-Vue 全新 Pro 版本，优化重构所有功能。基于 Spring Boot + MyBatis Plus + Vue & Element 实现的后台管理系统 + 微信小程序，支持 RBAC 动态权限、数据权限、SaaS 多租户、Flowable 工作流、三方登录、支付、短信、商城、CRM、ERP、AI 大模型、IoT 物联网等功能。你的 ⭐️ Star ⭐️，是作者生发的动力！,"['Java', 'PLpgSQL', 'TSQL', 'Other']",7424,34434,10226,2,256,50,https://github.com/YunaiV/ruoyi-vue-pro,False,4,134.51
xitu gold-miner,🥇掘金翻译计划，可能是世界最大最好的英译中技术社区，最懂读者和译者的翻译平台：,[],5038,34301,11473,1,536,0,https://github.com/xitu/gold-miner,False,0,63.99
microsoft qlib,"Qlib is an AI-oriented Quant investment platform that aims to use AI tech to empower Quant Research, from exploring ideas to implementing productions. Qlib supports diverse ML modeling paradigms, including supervised learning, market dynamics modeling, and RL, and is now equipped with https://github.com/microsoft/RD-Agent to automate R&D process.","['Python', 'Other']",5324,34256,2049,40,143,23,https://github.com/microsoft/qlib,True,2,239.55
Pythagora-io gpt-pilot,The first real AI developer,"['Python', 'TypeScript', 'JavaScript', 'Smarty', 'CSS', 'Shell', 'Other']",3488,33686,2884,1,52,0,https://github.com/Pythagora-io/gpt-pilot,False,7,647.81
explosion spaCy,💫 Industrial-strength Natural Language Processing (NLP) in Python,"['Python', 'MDX', 'Cython', 'JavaScript', 'Sass', 'TypeScript', 'Other']",4633,32901,16276,32,688,133,https://github.com/explosion/spaCy,False,7,47.82
mckaywrigley chatbot-ui,AI chat for any model.,"['TypeScript', 'PLpgSQL', 'Other']",9428,32715,209,47,125,0,https://github.com/mckaywrigley/chatbot-ui,False,3,261.72
exo-explore exo,Run your own AI cluster at home with everyday devices 📱💻 🖥️⌚,"['Python', 'JavaScript', 'HTML', 'CSS', 'Shell']",2234,32665,1563,75,51,12,https://github.com/exo-explore/exo,False,5,640.49
TabbyML tabby,Self-hosted AI coding assistant,"['Rust', 'Python', 'HTML', 'Tree-sitter Query', 'TypeScript', 'Shell', 'Other']",1645,32528,3681,57,128,245,https://github.com/TabbyML/tabby,False,7,254.12
alibaba nacos,"an easy-to-use dynamic service discovery, configuration and service management platform for building AI cloud native applications.","['Java', 'SCSS', 'JavaScript', 'Shell', 'Batchfile', 'TypeScript']",13190,32331,5580,18,443,88,https://github.com/alibaba/nacos,False,6,72.98
danny-avila LibreChat,"Enhanced ChatGPT Clone: Features Agents, MCP, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-5, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active.","['TypeScript', 'JavaScript', 'CSS', 'Handlebars', 'Shell', 'Smarty']",6339,32131,3390,130,314,0,https://github.com/danny-avila/LibreChat,False,6,102.33
facebookresearch fairseq,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,"['Python', 'Other']",6633,32012,2330,150,303,16,https://github.com/facebookresearch/fairseq,False,2,105.65
BerriAI litellm,"Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]","['Python', 'TypeScript', 'HTML', 'JavaScript', 'Shell', 'Makefile']",4901,31960,28072,348,1055,1106,https://github.com/BerriAI/litellm,True,6,30.29
lutzroeder netron,"Visualizer for neural network, deep learning and machine learning models","['JavaScript', 'Python', 'Other']",3036,31931,9519,0,0,2,https://github.com/lutzroeder/netron,False,3,
khoj-ai khoj,"Your AI second brain. Self-hostable. Get answers from the web or your docs. Build custom agents, schedule automations, do deep research. Turn any online or local LLM into your personal, autonomous AI (gpt, claude, gemini, llama, qwen, mistral). Get started - free.","['Python', 'TypeScript', 'CSS', 'HTML', 'Emacs Lisp', 'JavaScript', 'Other']",1880,31806,5107,12,59,166,https://github.com/khoj-ai/khoj,True,7,539.08
cursor cursor,The AI Code Editor,[],2134,31774,213,7,31,0,https://github.com/cursor/cursor,False,0,1024.97
Lightning-AI pytorch-lightning,"Pretrain, finetune ANY AI model of ANY size on 1 or 10,000+ GPUs with zero code changes.","['Python', 'Other']",3622,30543,10949,100,1002,171,https://github.com/Lightning-AI/pytorch-lightning,False,2,30.48
AMAI-GmbH AI-Expert-Roadmap,Roadmap to becoming an Artificial Intelligence Expert in 2022,"['JavaScript', 'Vue', 'Stylus']",2552,30518,71,2,10,0,https://github.com/AMAI-GmbH/AI-Expert-Roadmap,False,3,3051.8
s0md3v roop,one-click face swap,['Python'],6908,30399,403,0,26,6,https://github.com/s0md3v/roop,False,1,1169.19
PostHog posthog,"🦔 PostHog is an all-in-one developer platform for building successful products. We offer product analytics, web analytics, session replay, error tracking, feature flags, experimentation, surveys, data warehouse, a CDP, and an AI product assistant to help debug your code, ship features faster, and keep all your usage and customer data in one stack.","['Python', 'TypeScript', 'Rust', 'JavaScript', 'C++', 'SCSS', 'Other']",2092,30286,31168,219,385,0,https://github.com/PostHog/posthog,False,7,78.66
PDFMathTranslate PDFMathTranslate,[EMNLP 2025 Demo] PDF scientific paper translation with preserved formats - 基于 AI 完整保留排版的 PDF 文档全文双语翻译，支持 Google/DeepL/Ollama/OpenAI 等服务，提供 CLI/GUI/MCP/Docker/Zotero,"['Python', 'Other']",2697,30281,1074,9,52,24,https://github.com/PDFMathTranslate/PDFMathTranslate,False,2,582.33
continuedev continue,⏩ Ship faster with Continuous AI. Open-source CLI that can be used in TUI mode as a coding agent or Headless mode to run background agents,"['TypeScript', 'JavaScript', 'Kotlin', 'Python', 'Rust', 'Tree-sitter Query', 'Other']",3852,30125,20369,30,427,691,https://github.com/continuedev/continue,True,7,70.55
JushBJJ Mr.-Ranedeer-AI-Tutor,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.,[],3368,29677,188,0,12,3,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,False,0,2473.08
ashishpatel26 500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,500 AI Machine learning Deep learning Computer vision NLP Projects with code,[],6509,29329,30,12,3,0,https://github.com/ashishpatel26/500-AI-Machine-learning-Deep-learning-Computer-vision-NLP-Projects-with-code,False,0,9776.33
